grupo,item,valor_base,valor_baixo,valor_alto,unidade,uso_no_modelo,fonte,url,observacao
Dataset,Consumo de gás natural,consumption_t,,,m3/h,"V_GN_t = consumption_t * Delta_t; como Delta_t = 1 h, V_GN_t = consumption_t",Svoboda et al. / VSB natural gas forecasting dataset,https://arxiv.org/html/2309.03720v3,A documentação descreve Consumption como consumo da rede de distribuição em m3/h para a hora corrente.
Conversão física,Densidade normal do H2,0.0899,,,kg/Nm3,m_H2_t = 0.0899 * V_H2_t,"Hydrogen Europe, Hydrogen Transport & Distribution overview",https://hydrogeneurope.eu/wp-content/uploads/2021/11/Tech-Overview_Hydrogen-Transport-Distribution.pdf,Normal conditions: 1.013 bar and 0 C.
Conversão física,LHV volumétrico do H2,3.0,,,kWh/Nm3,V_H2_prod_t = eta_EL * P_EL_t * Delta_t / 3.0,"Giese, Hydrogen and Usability of Hydrogen Storage Technologies",https://d-nb.info/1240783663/34,Compatível com LHV em massa próximo de 33.3 a 33.6 kWh/kg.
Eletrolisador,"Consumo elétrico específico, eletrólise baixa temperatura",50-55,50,55,kWh/kg H2,P_EL_t * Delta_t = SEC_EL * m_H2_prod_t,"JRC, Water electrolysis and hydrogen in the European Union",https://publications.jrc.ec.europa.eu/repository/bitstream/JRC139364/JRC139364_01.pdf,Equivale a cerca de 4.50 a 4.94 kWh/Nm3 usando 0.0899 kg/Nm3.
Eletrolisador,CAPEX alcalino Europa 2023,1666,,,EUR/kW,CAPEX_EL = 1666 * P_EL_cap,"European Hydrogen Observatory / Hydrogen Europe, European hydrogen market landscape 2024",https://observatory.clean-hydrogen.europa.eu/sites/default/files/2024-11/The%20European%20hydrogen%20market%20landscape_November%202024.pdf,Valor total de CAPEX para projetos europeus em 2023.
Eletrolisador,OPEX alcalino Europa 2023,43,,,EUR/kW/ano,OPEXfix_EL = 43 * P_EL_cap,"European Hydrogen Observatory / Hydrogen Europe, European hydrogen market landscape 2024",https://observatory.clean-hydrogen.europa.eu/sites/default/files/2024-11/The%20European%20hydrogen%20market%20landscape_November%202024.pdf,OPEX fixo anual por kW instalado.
Eletrolisador,CAPEX PEM Europa 2023,1970,,,EUR/kW,CAPEX_EL = 1970 * P_EL_cap,"European Hydrogen Observatory / Hydrogen Europe, European hydrogen market landscape 2024",https://observatory.clean-hydrogen.europa.eu/sites/default/files/2024-11/The%20European%20hydrogen%20market%20landscape_November%202024.pdf,Valor total de CAPEX para projetos europeus em 2023.
Eletrolisador,OPEX PEM Europa 2023,64,,,EUR/kW/ano,OPEXfix_EL = 64 * P_EL_cap,"European Hydrogen Observatory / Hydrogen Europe, European hydrogen market landscape 2024",https://observatory.clean-hydrogen.europa.eu/sites/default/files/2024-11/The%20European%20hydrogen%20market%20landscape_November%202024.pdf,OPEX fixo anual por kW instalado.
Eletrolisador,CAPEX instalado global alcalino/PEM,2000-2450,2000,2450,USD/kWe,Sensibilidade internacional para CAPEX instalado de eletrolisador,"IEA, Electrolysers",https://www.iea.org/energy-system/low-emission-fuels/electrolysers,IEA reporta faixa atual de USD 2000 a 2450/kWe para sistemas instalados alcalinos e PEM.
Eletrolisador,CAPEX instalado alcalino chinês,750-1300,750,1300,USD/kWe,Sensibilidade de baixo custo,"IEA, Electrolysers",https://www.iea.org/energy-system/low-emission-fuels/electrolysers,Usar apenas em cenário de sensibilidade; não representa necessariamente custo europeu instalado.
